id,titulo,url,url_poster,fecha_estreno,sinopsis,usuario,genero
v4vendetta,V for Vendetta,https://www.imdb.com/title/tt0434409/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_v%2520for%2520v,https://m.media-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_FMjpg_UX1000_.jpg,2006/03/17,"Historia de un futuro ficticio donde Inglaterra es un estado fascista y totalitario. Evey, una joven proveniente de la clase trabajadora, es rescatada por ""V"", un misterioso enmascarado que busca la destrucción del gobierno cruel y corrupto, y la libertad del pueblo.",KevinMtz,"Accion, Drama, Ciencia Ficción, Thriller"
FantasticMrFox,Fantastic Mr. Fox,https://www.imdb.com/title/tt0432283/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_fantastic%2520mr%2520fox,https://m.media-amazon.com/images/M/MV5BYzdlM2JlMzMtNjYwOC00MGQ0LTliNzMtZDlhMWQ5NWIxN2U4XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_FMjpg_UX1000_.jpg,2009/12/4,Un zorro no puede resistirse de volver a atacar su granja y luego debe ayudar a su comunidad a sobrevivir a las represalias de los granjeros.,Mazorca,"Animación, Aventura, Comedia, Crimen, Drama, Familia"
robotdreams,Robot Dreams,https://www.imdb.com/title/tt13429870/?ref_=nv_sr_srsg_0_tt_7_nm_1_q_robot," https://m.media-amazon.com/images/M/MV5BOTVlZmQ2NGEtMzNlNy00NTFlLTliMGYtNmZkZDQ2OWQyZThmXkEyXkFqcGdeQXVyNjM0MTI4Mw@@._V1_QL75_UY281_CR17,0,190,281_.jpg ",2024/03/07,Narra las aventuras y desventuras de Perro y Robot en Nueva York durante los años 80.,narak28,"animación, drama, música"
NoManchesFrida2,No manches Frida 2,https://www.imdb.com/title/tt9019352/?ref_=nv_sr_srsg_3_tt_8_nm_0_q_No%2520manches,https://m.media-amazon.com/images/M/MV5BNmU0ZDI1MDctODBiZi00ZTg3LWFiZmUtMmFkMzYyYzc4ZDkxXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_.jpg ,2019/03/15,"A punto de llegar al altar, Lucy se da cuenta de que Zequi sigue siendo un hombre despreocupado e irresponsable. Para que ella lo perdone, Zequi deberá demostrarle que la ama incondicionalmente… con todo y sus alumnos.",MaikyAhoyo,Comedia
SpiderManATSV,Spider-Man: A través del Spider-Verso,https://www.imdb.com/title/tt9362722/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_spiderve,https://m.media-amazon.com/images/M/MV5BODg5YWE0OTQtMGE0My00Y2FmLWI3YWYtMGY5YjUwMjRhM2MzXkEyXkFqcGdeQXVyODY5Njk4Njc@._V1_FMjpg_UX1000_.jpg,2023/06/01,"Miles Morales regresa para el próximo capítulo de la saga ganadora de un Oscar, una aventura épica que transportará a Brooklyn a tiempo completo.",jessica,"Animación, Acción, Aventura"
ElSilencioDeLosInocentes,El silencio de los inocentes,https://www.imdb.com/title/tt0102926/mediaviewer/rm3734402304/?ref_=tt_ov_i,https://m.media-amazon.com/images/M/MV5BNDkzYTJjYTctMWY3My00ZmZkLTgyYjgtZjllMDQ5YTM2YTAzXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,1991/02/14,"Una joven del FBI busca la ayuda de un asesino caníbal y manipulador, con el fin de atrapar a otro asesino en serie, un loco que despelleja a sus víctimas.",JDQC,"Crimen, Drama, Suspenso"
Barnyard,La Granja,https://www.imdb.com/title/tt0414853/?ref_=fn_al_tt_3,https://m.media-amazon.com/images/M/MV5BMTU2NDE0ODYyNF5BMl5BanBnXkFtZTcwNjQ3NzAzMQ@@._V1_FMjpg_UX1000_.jpg,2006/10/27,"Otis es una vaca un tanto irresponsable. Eso sí, es la alegría del corral en el que vive, se la pasa haciendo bromas a los demás, cantando y bailando por los rincones del prado. Su actitud provoca constantes corajes a Ben, su padre y quien también está a cargo de mantener el orden en la granja.",Mazorca,"Animación, Aventura, Comedia, Drama, Familia"
RoadHouse,"Road House",https://www.imdb.com/video/vi1146603289/?playlistId=tt3359350&ref_=tt_pr_ov_vi,https://m.media-amazon.com/images/M/MV5BNTFiNTMxNTQtM2EzOS00NWNhLWFmNzctNjU5ODIzNDIzMzYzXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_FMjpg_UX1000_.jpg,2024/03/08,Un ex luchador de peso medio de la UFC acaba trabajando en un bar ruidoso de los Cayos de Florida donde las cosas no son lo que parecen.,ElErminio,"Acción , Suspenso"
ShutterIsland,Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=watch_tpks_tt_t_33_pd_tp1_pbr_ic,https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg ,2010/03/12,"Verano de 1954. Los agentes judiciales Teddy Daniels y Chuck Aule son enviados a una remota isla del puerto de Boston para investigar la desaparición de una peligrosa asesina recluida en el hospital psiquiátrico Ashecliffe, un centro penitenciario para criminales perturbados dirigido por el siniestro doctor John Cawley. Pronto descubrirán que el centro guarda muchos secretos y que la isla esconde algo más peligroso que los pacientes.",T,"	Terror, suspenso, drama, crímenes y misterio"
YourName,Your Name,https://www.imdb.com/title/tt5311514/mediaviewer/rm4024011521/?ref_=tt_ov_i,https://m.media-amazon.com/images/M/MV5BNDBlYmY3MzktMTgyOS00MTAwLTlkZDMtMGUzNDIyNTU2NjcyXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_FMjpg_UX1000_.jpg,2016/08/26,"Dos extraños se encuentran vinculados de una manera extraña, pero, cuando se forma una conexión, ¿será la distancia lo único que los mantendrá separados?",luz,"Animación, Drama, Fantasía "
SpiritedAway,Spirited Away,https://www.imdb.com/title/tt0245429/?ref_=nv_sr_srsg_1_tt_6_nm_1_q_spiri,https://m.media-amazon.com/images/M/MV5BZjUwNDQzN2QtMDZhZC00ZGNjLWJiYjAtZGExY2M2ZmI2ZGI3XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,2009/12/03,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",sportela,"Animación, aventura"
3Bodyproblem,3 Body Problem,https://www.imdb.com/title/tt13016388/?ref_=watch_fanfav_tt_i_2,https://m.media-amazon.com/images/M/MV5BMjNiMDI5YjItNmU0Yy00NmYxLThjYmUtZDc5ODY2ZDI2NzkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg,2024/03/21,"Seguirá la historia del primer contacto de la humanidad con una civilización alienígena, viendo cómo la humanidad es vulnerable a la misma amenaza externa.",Nando,"Aventura, Drama, Fantasía"
requiem4adream,Requiem for a Dream,https://www.imdb.com/title/tt0180093/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_requiem%2520,https://m.media-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg,2000/05/14,Una viuda se vuelve adicta a píldoras dietéticas mientras su hijo libra su propia batalla con estupefacientes. Darren Aronofsky se sumerge de nuevo en el terreno de lo visceral con esta durísima pero fascinante película en torno a la adicción.,KevinMtz,Drama
gatobotas2,El gato con botas: El último deseo,https://www.imdb.com/title/tt3915174/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_gato%2520con,"https://m.media-amazon.com/images/M/MV5BZjNiMjkzMDItOWNjMy00ODZjLTgwY2UtZTEyODYzNTI2NzI1XkEyXkFqcGdeQXVyMTU5OTA4NTIz._V1_QL75_UY281_CR18,0,190,281_.jpg",2022/12/22,El Gato con Botas descubre que su pasión por la aventura le ha pasado factura: Ha agotado ocho de sus nueve vidas.,narak28,"animación, acción, aventura"
Bodies,Bodies,https://www.imdb.com/title/tt18347622/?ref_=nv_sr_srsg_3_tt_8_nm_0_q_bodies,https://m.media-amazon.com/images/M/MV5BMzdiYzRjZjctZDE0ZC00MGQ4LWEwYzAtZDEyNzJiYzI2YjM2XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_FMjpg_UX1000_.jpg,2023/10/19,Cuatro detectives en cuatro períodos diferentes de Londres se encuentran investigando el mismo asesinato.,fd_x,Ciencia Ficción
TopGun2,Top Gun: Maverick,https://www.imdb.com/title/tt1745960/,https://m.media-amazon.com/images/M/MV5BNTEyYTA5YWYtYmIxYS00NWRlLWExNjMtNjliZmVlZDgxNTBlXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg,2022/05/27,"Después de más de treinta años de servicio como uno de los mejores aviadores de la Armada, Pete Mitchell está donde pertenece, forzando los límites como valiente piloto de pruebas y esquivando el avance de rango que lo dejaría en tierra.",fd_x,Aventura
KungFuPanda2,Kung Fu Panda 2,https://www.imdb.com/video/vi1639488793/?playlistId=tt1302011&ref_=tt_ov_vi,https://m.media-amazon.com/images/M/MV5BYjUyMjhkODEtMWJhOC00YjgzLWI1MmUtMzM5YmUxYmY0ZWQ3XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_FMjpg_UX1000_.jpg,2011/05/10,"Po y sus amigos luchan para evitar que un malvado pavo real conquiste China con una nueva arma mortal. Pero primero, el Guerrero Dragón debe hacer las paces con su pasado.",ElErminio,"Animación, Acción, Aventura, Comedia, Drama, Familia, Fantasía"
MyNeighborTotoro,My Neighbor Totoro,https://www.imdb.com/title/tt0096283/?ref_=nv_sr_srsg_0_tt_5_nm_3_q_Totoro,https://m.media-amazon.com/images/M/MV5BMjg3ZmIyYWMtYmRmMC00YTcyLTgzMjItODk3Yjc4ZDc5ODE5XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,1988/04/16,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",sportela,"Animación, Animé"
TheTrumanShow,The Truman Show,https://www.imdb.com/title/tt0120382/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_the%2520truman%2520show,https://m.media-amazon.com/images/M/MV5BMDIzODcyY2EtMmY2MC00ZWVlLTgwMzAtMjQwOWUyNmJjNTYyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_FMjpg_UX1000_.jpg,1998/10/02,An insurance salesman discovers his whole life is actually a reality TV show.,Mazorca,"Comedia, Drama"
FantasticBeasts,Fantastic Beasts: The Secrets of Dumbledore,,https://m.media-amazon.com/images/M/MV5BOTNjNWRjZDUtYjU1OC00NGFmLWE2ZDktMzhhYmIwOTU4YjVmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg,2022/04/15,"El profesor Albus Dumbledore sabe que el poderoso mago oscuro Gellert Grindelwald se está moviendo para tomar el control del mundo mágico. Incapaz de detenerlo solo, le confía al magizoólogo Newt Scamander que dirija un intrépido equipo de magos, brujas y un valiente panadero muggle en una peligrosa misión, donde se encuentran con viejas y nuevas bestias y chocan con la creciente legión de seguidores de Grindelwald. Pero con tanto en juego, ¿cuánto tiempo puede permanecer Dumbledore al margen?",fd_x,Fantasia
TheUnbearable,The Unbearable Weight of Massive Talent,,https://m.media-amazon.com/images/M/MV5BN2UxMzI1N2EtNmZkYi00M2RmLTliMDctZTlmN2ZlMGVmMjNmXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_FMjpg_UX1000_.jpg,2022/04/22,"Nicolas Cage, con problemas de liquidez, accede a hacer una aparición paga en la fiesta de cumpleaños de un superfanático multimillonario, pero en realidad es un informante de la CIA, ya que el fanático multimillonario es un capo de la droga y obtiene un papel en una película de Tarantino.",fd_x,Accion
Memory,Memory,,https://m.media-amazon.com/images/M/MV5BNTI4OTQzMmItOTJiZS00NTc3LTkxNGYtZWQ2NGJiNjQ4NzQ2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_FMjpg_UX1000_.jpg,2022/04/29,Un asesino a sueldo descubre que se ha convertido en un objetivo después de que se niega a completar un trabajo para una peligrosa organización criminal. Una nueva versión de la película belga de 2003 'La memoria de un asesino'.,fd_x,Accion
DoctorStrange,Doctor Strange in the Multiverse of Madness,,https://m.media-amazon.com/images/M/MV5BZDg5ZDg2MWQtM2ExNi00ZjEzLTgzMDQtZmJlYWEwYmM4ODUxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_FMjpg_UX1000_.jpg,2022/05/06, "Después de los eventos de Avengers: Endgame, el Dr. Stephen Strange continúa su investigación sobre Time Stone. Pero un viejo amigo convertido en enemigo busca destruir a todos los hechiceros de la Tierra, interfiriendo con el plan de Strange y provocando que desate un mal indescriptible.",fd_x,Accion
Firestarter,Firestarter,,https://m.media-amazon.com/images/M/MV5BMWIzNzA4MmUtYTIzNy00Y2Q5LWIyM2YtZGRiYzM0ZWQzOTU2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg,2022/05/13,Una joven trata de entender cómo obtuvo misteriosamente el poder de prender fuego a las cosas con su mente.,fd_x,Misterio
Topgun2,Top Gun: Maverick,,https://m.media-amazon.com/images/M/MV5BNTEyYTA5YWYtYmIxYS00NWRlLWExNjMtNjliZmVlZDgxNTBlXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg,2022/05/27,"Después de más de treinta años de servicio como uno de los mejores aviadores de la Armada, Pete Mitchell está donde pertenece, forzando los límites como valiente piloto de pruebas y esquivando el avance de rango que lo dejaría en tierra.",fd_x,Accion
JurassicWorldDom,Jurassic World Dominion,,https://m.media-amazon.com/images/M/MV5BMjQzZTA2MmEtNDcwYy00ZWE0LWFlODMtOWQ2MzRjNTgyYmVkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg,2022/06/10,Los dinosaurios se comen a tod@s :),fd_x,Accion
MrsHarris,Mrs. Harris Goes to Paris,,https://m.media-amazon.com/images/M/MV5BMjM1ZjIyYzYtODRhYy00ZTc0LThhZjMtNzhmZGM3OWJkNzFkXkEyXkFqcGdeQXVyMjQ4NjAyOTY@._V1_FMjpg_UX1000_.jpg,2022/07/22,Una señora de la limpieza viuda en la década de 1950 en Londres se enamora locamente de un vestido de alta costura de Dior y decide que debe tener uno propio.,fd_x,Epoca
SalemsLot,Salem's Lot,,https://m.media-amazon.com/images/M/MV5BMGY2Mzk2NjQtMGYxMC00Y2Q1LWJiMDgtODJjMTgxN2UzYmI3XkEyXkFqcGdeQXVyMTI0MzcyMDk4._V1_FMjpg_UX1000_.jpg,2022/09/09,"Ben Mears, un escritor que pasó parte de su infancia en Jerusalem's Lot, Maine, también conocido como 'Salem's Lot, ha regresado después de veinticinco años para escribir un libro sobre la abandonada Casa Marsten, donde tuvo una mala experiencia como un niño. Pronto descubre que un antiguo mal también ha llegado a la ciudad y está convirtiendo a los residentes en vampiros. Jura detener la plaga de muertos vivientes y salvar la ciudad.",fd_x,Terror
SpiderVerse,Spider-Man: Across the Spider-Verse - Part One,,https://m.media-amazon.com/images/M/MV5BZGRhNDE1YjYtOGUzMC00YjliLThiOTgtYTkwNmQwNDZjYjFhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,2022/10/06,"Miles Morales regresa para el próximo capítulo de la saga Spider-Verse, ganadora de un Oscar®, una aventura épica que transportará a Spider-Man, el amigable vecindario de tiempo completo de Brooklyn, a través del Multiverso para unir fuerzas con Gwen Stacy y un nuevo equipo de Spider-Man. Personas que se enfrenten a un villano más poderoso que cualquier cosa que hayan conocido.",fd_x,Animacion
TheBatman,The Batman,,https://m.media-amazon.com/images/M/MV5BYTExZTdhY2ItNGQ1YS00NjJlLWIxMjYtZTI1MzNlMzY0OTk4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg,2022/03/04,La trama es desconocida.,fd_x,Aventura
NorthMan,El Hombre del Norte,,https://m.media-amazon.com/images/M/MV5BMDNkMTVlODUtNjBlMi00ZTUyLWI5OTItZTFjMjVlMTA5MTkzXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg,2022/04/22,La historia de un joven príncipe vikingo decidido a vengar la muerte de su padre.,IARZ,Accion
TheFlash,The Flash,,https://m.media-amazon.com/images/M/MV5BOWNhMGU5MjEtMGVkYi00M2RiLWE5NjUtY2U5NDAxZTcwNDY0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg,2022/11/04,"Flash, el héroe más rápido, viaja a una línea temporal en que la Tierra está en crisis y sus héroes perdidos o dispersados.",Yisus,Accion
Dune,Dune,,https://m.media-amazon.com/images/M/MV5BMmE1ZTA3MjQtY2E1My00NzM0LWIzN2EtMWJlZjc5ZTgzZTkwXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_FMjpg_UX1000_.jpg,2021/10/21,Adaptación de la novela de ciencia ficción de Frank Herbert sobre el hijo de una familia noble que trata de vengarse de la muerte de su padre y al mismo tiempo salvar un planeta que se le ha encomendado proteger.,LuisHL,CienciaFiccion
Elvis,Elvis,,https://m.media-amazon.com/images/M/MV5BNjhiODE0ZjktYzVhYS00ODRlLTkwZjYtYjRlNjg5YzI1MzZlXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_FMjpg_UX1000_.jpg,2022/06/24,"Una mirada a la vida de la legendaria estrella del rock and roll, Elvis Presley",IARZ,Biografia
FreeGuy,Free Guy,,https://m.media-amazon.com/images/M/MV5BMzk1YjkzNmMtNGQ0Yy00MzY2LWI3ZmQtOTU2NDNhMTk5ZDQ0XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_.jpg,2021/08/13,"En el extremadamente popular videojuego Free City, un NPC llamado Guy descubre la verdadera naturaleza de su existencia cuando conoce a la chica de sus sueños, una jugadora humana. Las interacciones de este jugador con Guy tienen efectos masivos sobre él, el juego y el mundo real mientras juegan.",Gilberto,Accion
JujutsuKaisen0,Gekijouban Jujutsu Kaisen 0,,https://m.media-amazon.com/images/M/MV5BYzFmMjAwMDYtNzM0Zi00NjY2LWFjMjYtMGQ1OTRiZjk5YjJkXkEyXkFqcGdeQXVyMTMwODY5NDc2._V1_FMjpg_UX1000_.jpg,2022/03/24,"Rika, amiga de la infancia de Yuuta Okkotsu, murió en un accidente automovilístico. Su espíritu permanece con él, más ya no es la dulce niña que él conocía. Se manifiesta como una entidad monstruosa y poderosa que lo protege ferozmente.",Karo,Anime
Uncharted,Uncharted,,https://m.media-amazon.com/images/M/MV5BOTNkN2ZmMzItOTAwMy00MmM5LTg5YTgtNmE5MThkMDE2ODJiXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_FMjpg_UX1000_.jpg,2022/02/17,"Una precuela de la saga de videojuegos Uncharted, donde descubrimos cómo Drake llego a conocer y hacerse amigo de Sully.",LuisHL,Accion
ThorLT,Thor: Love and Thunder,,https://m.media-amazon.com/images/M/MV5BMzZjMTIwNjYtYTg0ZS00ZDFjLTk3MDctMTY3ZTgwMjQ4MmFiXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_FMjpg_UX1000_.jpg,2022/07/08,"La secuela de Thor: Ragnarock, y cuarta película en la saga de Thor.",IARZ,Accion
Aquaman,Aquaman and the Lost Kingdom,,https://m.media-amazon.com/images/M/MV5BM2QyYTRkMjMtMDk5NC00OTc0LWIyYTYtNGNhMzRjMTNhNGNkXkEyXkFqcGdeQXVyNjc0NzQzNTM@._V1_FMjpg_UX1000_.jpg,2022/12/06,Secuela de la película Aquaman ,IARZ,Accion
BrideWars,Guerra de Novias,,https://m.media-amazon.com/images/M/MV5BMTUyNTg2OTUwN15BMl5BanBnXkFtZTgwNzEzMzg5MTI@._V1_FMjpg_UX1000_.jpg,2009/01/16,Dos buenas amigas se convierten en rivales cuando programan sus respectivas bodas el mismo día.,IARZ,Comedia
Lightyear,Lightyear,,MV5BMTg0MzkzMTQtNWRlZS00MGU2LTgwYTktMjkyNTZkZTAzNTQ3XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_FMjpg_UX1000_.jpg (1000×1481) (media-amazon.com),2022/06/17,La historia de Buzz Lightyear y sus aventuras hasta el infinito y más allá,JCLV,Animacion
BohemianRhapsody,Bohemian Rhapsody,,MV5BMmVkYTI5YzQtYjgyZC00YzJjLWI4ZjgtNmRlZmUzNDI3M2JiXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg (1000×1441) (media-amazon.com),2018/10/28,Una crónica de los años anteriores a la legendaria aparición de Queen en el concierto Live Aid,JCLV,Musical
TheAmazingSpiderMan,The Amazing Spider-Man 2: La venganza de Electro,,MV5BZTFjZDk1OWYtYTQ5YS00OWMwLWI2NmEtM2YyNjFjNDlhMTUzXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_FMjpg_UX1000_.jpg (1000×1481) (media-amazon.com),2014/04/18,"Cuando Nueva York es asediada por Oscorp, depende de Spider-Man salvar la ciudad que juró proteger, así como a sus seres queridos",JCLV,Accion
MenInBlack,Men in Black,,https://m.media-amazon.com/images/M/MV5BODlhMzc5MTYtMzk5MS00NzFmLWEyNDItZTU4MzcxZjEzNTJjXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,1997/01/08,Un agente de policía se une a una organización secreta que controla y monitoriza la actividad extraterrestre en la Tierra.,LuisHL,CienciaFiccion
Colegasbarrio,Los colegas del barrio,,https://m.media-amazon.com/images/M/MV5BY2NmM2M2MWItNjdlMC00ZWI3LTkwODUtZDNkYWZjYjgzZjY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg,1996/01/12,Una parodia de varias películas estadounidenses.,Miami ,Comedia
