Titulo,Type,SJR (Cuartil),H_Index,Link
Cell Stem Cell,journal,Q1,305,https://www.scimagojr.com/journalsearch.php?q=6100153018&tip=sid&clean=0
"Lancet Diabetes and Endocrinology,The",journal,Q1,173,https://www.scimagojr.com/journalsearch.php?q=21100237403&tip=sid&clean=0
Nature Reviews Disease Primers,journal,Q1,186,https://www.scimagojr.com/journalsearch.php?q=21100780831&tip=sid&clean=0
Living Reviews in Relativity,journal,Q1,93,https://www.scimagojr.com/journalsearch.php?q=28677&tip=sid&clean=0
Psychological Science in the Public Interest,journal,Q1,60,https://www.scimagojr.com/journalsearch.php?q=13969&tip=sid&clean=0
Journal of Hepatology,journal,Q1,301,https://www.scimagojr.com/journalsearch.php?q=25297&tip=sid&clean=0
Annual Review of Condensed Matter Physics,journal,Q1,87,https://www.scimagojr.com/journalsearch.php?q=19700188417&tip=sid&clean=0
Annual Review of Biochemistry,journal,Q1,321,https://www.scimagojr.com/journalsearch.php?q=16801&tip=sid&clean=0
Nature Reviews Gastroenterology and Hepatology,journal,Q1,193,https://www.scimagojr.com/journalsearch.php?q=17700156208&tip=sid&clean=0
Astronomy and Astrophysics Review,journal,Q1,78,https://www.scimagojr.com/journalsearch.php?q=26756&tip=sid&clean=0
Nature Reviews Microbiology,journal,Q1,372,https://www.scimagojr.com/journalsearch.php?q=20313&tip=sid&clean=0
Nature Reviews Earth and Environment,journal,Q1,67,https://www.scimagojr.com/journalsearch.php?q=21101049051&tip=sid&clean=0
Cell Research,journal,Q1,216,https://www.scimagojr.com/journalsearch.php?q=13900&tip=sid&clean=0
Annual Review of Psychology,journal,Q1,279,https://www.scimagojr.com/journalsearch.php?q=12010&tip=sid&clean=0
"Lancet Public Health, The",journal,Q1,90,https://www.scimagojr.com/journalsearch.php?q=21100804406&tip=sid&clean=0
Molecular Cell,journal,Q1,443,https://www.scimagojr.com/journalsearch.php?q=18606&tip=sid&clean=0
Advanced Materials,journal,Q1,640,https://www.scimagojr.com/journalsearch.php?q=19881&tip=sid&clean=0
Journal of Econometrics,journal,Q1,188,https://www.scimagojr.com/journalsearch.php?q=28973&tip=sid&clean=0
Synthesis Lectures on Artificial Intelligence and Machine Learning,book series,Q1,30,https://www.scimagojr.com/journalsearch.php?q=17700156773&tip=sid&clean=0
"Lancet Gastroenterology and Hepatology, The",journal,Q1,105,https://www.scimagojr.com/journalsearch.php?q=21100786228&tip=sid&clean=0
American Economic Journal: Applied Economics,journal,Q1,109,https://www.scimagojr.com/journalsearch.php?q=19900191767&tip=sid&clean=0
Annual Review of Economics,journal,Q1,76,https://www.scimagojr.com/journalsearch.php?q=19700200701&tip=sid&clean=0
Acta Numerica,journal,Q1,85,https://www.scimagojr.com/journalsearch.php?q=24535&tip=sid&clean=0
Nature Cell Biology,journal,Q1,409,https://www.scimagojr.com/journalsearch.php?q=19014&tip=sid&clean=0
Reviews of Geophysics,journal,Q1,191,https://www.scimagojr.com/journalsearch.php?q=28599&tip=sid&clean=0
Cell Genomics,journal,Q1,20,https://www.scimagojr.com/journalsearch.php?q=21101101215&tip=sid&clean=0
Journal of the American College of Cardiology,journal,Q1,493,https://www.scimagojr.com/journalsearch.php?q=22401&tip=sid&clean=0
Science immunology,journal,Q1,106,https://www.scimagojr.com/journalsearch.php?q=21100860945&tip=sid&clean=0
Annual Review of Fluid Mechanics,book series,Q1,214,https://www.scimagojr.com/journalsearch.php?q=13839&tip=sid&clean=0
Advanced Energy Materials,journal,Q1,319,https://www.scimagojr.com/journalsearch.php?q=21100199127&tip=sid&clean=0
Signal Transduction and Targeted Therapy,journal,Q1,117,https://www.scimagojr.com/journalsearch.php?q=21100888816&tip=sid&clean=0
Advances in Optics and Photonics,journal,Q1,88,https://www.scimagojr.com/journalsearch.php?q=21100228100&tip=sid&clean=0
IEEE Journal on Selected Areas in Communications,journal,Q1,263,https://www.scimagojr.com/journalsearch.php?q=18902&tip=sid&clean=0
Annual Review of Neuroscience,journal,Q1,261,https://www.scimagojr.com/journalsearch.php?q=14181&tip=sid&clean=0
eLight,journal,Q1,22,https://www.scimagojr.com/journalsearch.php?q=21101151587&tip=sid&clean=0
"Lancet Neurology, The",journal,Q1,355,https://www.scimagojr.com/journalsearch.php?q=16860&tip=sid&clean=0
Circulation,journal,Q1,674,https://www.scimagojr.com/journalsearch.php?q=22581&tip=sid&clean=0
Psychological Bulletin,journal,Q1,359,https://www.scimagojr.com/journalsearch.php?q=13443&tip=sid&clean=0
Nature Reviews Cardiology,journal,Q1,183,https://www.scimagojr.com/journalsearch.php?q=17700156509&tip=sid&clean=0
Journal of Accounting and Economics,journal,Q1,187,https://www.scimagojr.com/journalsearch.php?q=29838&tip=sid&clean=0
Academy of Management Journal,journal,Q1,375,https://www.scimagojr.com/journalsearch.php?q=20191&tip=sid&clean=0
Nature Physics,journal,Q1,334,https://www.scimagojr.com/journalsearch.php?q=4000151822&tip=sid&clean=0
Molecular Cancer,journal,Q1,196,https://www.scimagojr.com/journalsearch.php?q=12429&tip=sid&clean=0
AI Open,journal,Q1,16,https://www.scimagojr.com/journalsearch.php?q=21101101212&tip=sid&clean=0
Gut,journal,Q1,348,https://www.scimagojr.com/journalsearch.php?q=28366&tip=sid&clean=0
Foundations and Trends in Finance,journal,Q1,23,https://www.scimagojr.com/journalsearch.php?q=21100203106&tip=sid&clean=0
Synthesis Lectures on Communication Networks,book series,Q1,12,https://www.scimagojr.com/journalsearch.php?q=5200152836&tip=sid&clean=0
Nature Microbiology,journal,Q1,138,https://www.scimagojr.com/journalsearch.php?q=21100773752&tip=sid&clean=0
"Lancet Respiratory Medicine,The",journal,Q1,182,https://www.scimagojr.com/journalsearch.php?q=21100220495&tip=sid&clean=0
Nature Biomedical Engineering,journal,Q1,116,https://www.scimagojr.com/journalsearch.php?q=21100831443&tip=sid&clean=0
Endocrine Reviews,journal,Q1,307,https://www.scimagojr.com/journalsearch.php?q=26038&tip=sid&clean=0
Journal of Thoracic Oncology,journal,Q1,178,https://www.scimagojr.com/journalsearch.php?q=6400153137&tip=sid&clean=0
Nature Reviews Neuroscience,journal,Q1,474,https://www.scimagojr.com/journalsearch.php?q=17437&tip=sid&clean=0
JAMA Oncology,journal,Q1,173,https://www.scimagojr.com/journalsearch.php?q=21100420583&tip=sid&clean=0
Nature Reviews Physics,journal,Q1,70,https://www.scimagojr.com/journalsearch.php?q=21100972445&tip=sid&clean=0
"Lancet Psychiatry,The",journal,Q1,145,https://www.scimagojr.com/journalsearch.php?q=21100356804&tip=sid&clean=0
Strategic Management Journal,journal,Q1,333,https://www.scimagojr.com/journalsearch.php?q=23157&tip=sid&clean=0
Progress in Materials Science,journal,Q1,235,https://www.scimagojr.com/journalsearch.php?q=17899&tip=sid&clean=0
Review of Finance,journal,Q1,77,https://www.scimagojr.com/journalsearch.php?q=16160&tip=sid&clean=0
ACM Transactions on Graphics,journal,Q1,251,https://www.scimagojr.com/journalsearch.php?q=24972&tip=sid&clean=0
Cell Host and Microbe,journal,Q1,241,https://www.scimagojr.com/journalsearch.php?q=5300152732&tip=sid&clean=0
Neuron,journal,Q1,530,https://www.scimagojr.com/journalsearch.php?q=17978&tip=sid&clean=0
Nature Climate Change,journal,Q1,267,https://www.scimagojr.com/journalsearch.php?q=21100198409&tip=sid&clean=0
Annual Review of Organizational Psychology and Organizational Behavior,journal,Q1,75,https://www.scimagojr.com/journalsearch.php?q=21100863710&tip=sid&clean=0
Annual Review of Plant Biology,journal,Q1,298,https://www.scimagojr.com/journalsearch.php?q=16721&tip=sid&clean=0
Review of Economics and Statistics,journal,Q1,200,https://www.scimagojr.com/journalsearch.php?q=24204&tip=sid&clean=0
Journal of Management,journal,Q1,280,https://www.scimagojr.com/journalsearch.php?q=20635&tip=sid&clean=0
Cancer Discovery,journal,Q1,229,https://www.scimagojr.com/journalsearch.php?q=21100212318&tip=sid&clean=0
Journal of Hematology and Oncology,journal,Q1,144,https://www.scimagojr.com/journalsearch.php?q=17900156736&tip=sid&clean=0
Journal of Economic Perspectives,journal,Q1,224,https://www.scimagojr.com/journalsearch.php?q=28980&tip=sid&clean=0
Living Reviews in Solar Physics,journal,Q1,68,https://www.scimagojr.com/journalsearch.php?q=19700173023&tip=sid&clean=0
Nature Protocols,journal,Q1,303,https://www.scimagojr.com/journalsearch.php?q=5800207366&tip=sid&clean=0
Annual Review of Genetics,journal,Q1,200,https://www.scimagojr.com/journalsearch.php?q=21706&tip=sid&clean=0
Nature Sustainability,journal,Q1,115,https://www.scimagojr.com/journalsearch.php?q=21100873499&tip=sid&clean=0
Gastroenterology,journal,Q1,466,https://www.scimagojr.com/journalsearch.php?q=28330&tip=sid&clean=0
Annual Review of Clinical Psychology,journal,Q1,145,https://www.scimagojr.com/journalsearch.php?q=4600151524&tip=sid&clean=0
"Lancet Digital Health, The",journal,Q1,66,https://www.scimagojr.com/journalsearch.php?q=21100922606&tip=sid&clean=0
Nature Reviews Endocrinology,journal,Q1,203,https://www.scimagojr.com/journalsearch.php?q=17700156440&tip=sid&clean=0
The Innovation,journal,Q1,41,https://www.scimagojr.com/journalsearch.php?q=21101038708&tip=sid&clean=0
ACS Energy Letters,journal,Q1,195,https://www.scimagojr.com/journalsearch.php?q=21100832985&tip=sid&clean=0
Genome Biology,journal,Q1,301,https://www.scimagojr.com/journalsearch.php?q=40944&tip=sid&clean=0
Journal of the Academy of Marketing Science,journal,Q1,207,https://www.scimagojr.com/journalsearch.php?q=24385&tip=sid&clean=0
Nature Metabolism,journal,Q1,75,https://www.scimagojr.com/journalsearch.php?q=21100932733&tip=sid&clean=0
Annals of Mathematics,journal,Q1,137,https://www.scimagojr.com/journalsearch.php?q=24721&tip=sid&clean=0
Nature Structural and Molecular Biology,journal,Q1,303,https://www.scimagojr.com/journalsearch.php?q=12394&tip=sid&clean=0
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,journal,Q1,49,https://www.scimagojr.com/journalsearch.php?q=11700154368&tip=sid&clean=0
Nucleic Acids Research,journal,Q1,637,https://www.scimagojr.com/journalsearch.php?q=14204&tip=sid&clean=0
Nature Chemistry,journal,Q1,291,https://www.scimagojr.com/journalsearch.php?q=18100156701&tip=sid&clean=0
European Urology,journal,Q1,261,https://www.scimagojr.com/journalsearch.php?q=19897&tip=sid&clean=0
Annual Review of Physiology,journal,Q1,237,https://www.scimagojr.com/journalsearch.php?q=120008&tip=sid&clean=0
Journal of Experimental Medicine,journal,Q1,490,https://www.scimagojr.com/journalsearch.php?q=21272&tip=sid&clean=0
Materials Science and Engineering: R: Reports,journal,Q1,172,https://www.scimagojr.com/journalsearch.php?q=17814&tip=sid&clean=0
Electrochemical Energy Reviews,journal,Q1,62,https://www.scimagojr.com/journalsearch.php?q=21101046230&tip=sid&clean=0
Fungal Diversity,journal,Q1,123,https://www.scimagojr.com/journalsearch.php?q=18567&tip=sid&clean=0
Clinical Microbiology Reviews,journal,Q1,331,https://www.scimagojr.com/journalsearch.php?q=19651&tip=sid&clean=0
Organizational Research Methods,journal,Q1,138,https://www.scimagojr.com/journalsearch.php?q=22330&tip=sid&clean=0
International Journal of Computer Vision,journal,Q1,221,https://www.scimagojr.com/journalsearch.php?q=72242&tip=sid&clean=0
Journal of the European Economic Association,journal,Q1,119,https://www.scimagojr.com/journalsearch.php?q=7500153126&tip=sid&clean=0
Journal of Accounting Research,journal,Q1,169,https://www.scimagojr.com/journalsearch.php?q=29857&tip=sid&clean=0
Science Robotics,journal,Q1,101,https://www.scimagojr.com/journalsearch.php?q=21100886132&tip=sid&clean=0
Journal of Monetary Economics,journal,Q1,149,https://www.scimagojr.com/journalsearch.php?q=17555&tip=sid&clean=0
Chem,journal,Q1,144,https://www.scimagojr.com/journalsearch.php?q=21100788876&tip=sid&clean=0
American Economic Journal: Economic Policy,journal,Q1,88,https://www.scimagojr.com/journalsearch.php?q=19900191884&tip=sid&clean=0
Science Translational Medicine,journal,Q1,284,https://www.scimagojr.com/journalsearch.php?q=19700174677&tip=sid&clean=0
Nano-Micro Letters,journal,Q1,116,https://www.scimagojr.com/journalsearch.php?q=21100203115&tip=sid&clean=0
Annual Review of Cell and Developmental Biology,journal,Q1,240,https://www.scimagojr.com/journalsearch.php?q=18395&tip=sid&clean=0
Journal of Applied Psychology,journal,Q1,340,https://www.scimagojr.com/journalsearch.php?q=15388&tip=sid&clean=0
Physics Reports,journal,Q1,318,https://www.scimagojr.com/journalsearch.php?q=29229&tip=sid&clean=0
Journal of the American Mathematical Society,journal,Q1,110,https://www.scimagojr.com/journalsearch.php?q=24668&tip=sid&clean=0
Neuro-Oncology,journal,Q1,163,https://www.scimagojr.com/journalsearch.php?q=12499&tip=sid&clean=0
"Lancet Infectious Diseases, The",journal,Q1,291,https://www.scimagojr.com/journalsearch.php?q=22471&tip=sid&clean=0
Review of Asset Pricing Studies,journal,Q1,29,https://www.scimagojr.com/journalsearch.php?q=21100926577&tip=sid&clean=0
ACM Computing Surveys,journal,Q1,213,https://www.scimagojr.com/journalsearch.php?q=23038&tip=sid&clean=0
Advances in Methods and Practices in Psychological Science,journal,Q1,42,https://www.scimagojr.com/journalsearch.php?q=21101046404&tip=sid&clean=0
JAMA Psychiatry,journal,Q1,408,https://www.scimagojr.com/journalsearch.php?q=21100228547&tip=sid&clean=0
Nature Reviews Neurology,journal,Q1,207,https://www.scimagojr.com/journalsearch.php?q=17700156408&tip=sid&clean=0
Intensive Care Medicine,journal,Q1,237,https://www.scimagojr.com/journalsearch.php?q=14719&tip=sid&clean=0
JAMA Cardiology,journal,Q1,113,https://www.scimagojr.com/journalsearch.php?q=21100826360&tip=sid&clean=0
"Lancet Global Health,The",journal,Q1,136,https://www.scimagojr.com/journalsearch.php?q=21100265444&tip=sid&clean=0
Progress in Polymer Science,journal,Q1,331,https://www.scimagojr.com/journalsearch.php?q=26465&tip=sid&clean=0
Advanced Powder Materials,journal,Q1,28,https://www.scimagojr.com/journalsearch.php?q=21101118502&tip=sid&clean=0
JAMA Neurology,journal,Q1,272,https://www.scimagojr.com/journalsearch.php?q=21100228519&tip=sid&clean=0
IEEE Transactions on Pattern Analysis and Machine Intelligence,journal,Q1,417,https://www.scimagojr.com/journalsearch.php?q=24254&tip=sid&clean=0
"Philosophical Review, The",journal,Q1,65,https://www.scimagojr.com/journalsearch.php?q=26107&tip=sid&clean=0
Annals of the Rheumatic Diseases,journal,Q1,288,https://www.scimagojr.com/journalsearch.php?q=19136&tip=sid&clean=0
Progress in Energy and Combustion Science,journal,Q1,228,https://www.scimagojr.com/journalsearch.php?q=27538&tip=sid&clean=0
Nature Human Behaviour,journal,Q1,98,https://www.scimagojr.com/journalsearch.php?q=21100838541&tip=sid&clean=0
Proceedings of the IEEE,journal,Q1,325,https://www.scimagojr.com/journalsearch.php?q=17915&tip=sid&clean=0
Journal of Labor Economics,journal,Q1,131,https://www.scimagojr.com/journalsearch.php?q=20246&tip=sid&clean=0
Foundations and Trends in Signal Processing,journal,Q1,20,https://www.scimagojr.com/journalsearch.php?q=19600166419&tip=sid&clean=0
Pharmacological Reviews,journal,Q1,254,https://www.scimagojr.com/journalsearch.php?q=21191&tip=sid&clean=0
Trends in Cell Biology,journal,Q1,263,https://www.scimagojr.com/journalsearch.php?q=19066&tip=sid&clean=0
Journal of Marketing Research,journal,Q1,202,https://www.scimagojr.com/journalsearch.php?q=22961&tip=sid&clean=0
Molecular Plant,journal,Q1,162,https://www.scimagojr.com/journalsearch.php?q=17600155011&tip=sid&clean=0
Materials Today,journal,Q1,228,https://www.scimagojr.com/journalsearch.php?q=24769&tip=sid&clean=0
Accounts of Chemical Research,journal,Q1,453,https://www.scimagojr.com/journalsearch.php?q=22657&tip=sid&clean=0
Nature Machine Intelligence,journal,Q1,67,https://www.scimagojr.com/journalsearch.php?q=21101007236&tip=sid&clean=0
Nature Reviews Nephrology,journal,Q1,161,https://www.scimagojr.com/journalsearch.php?q=17700156202&tip=sid&clean=0
JAMA - Journal of the American Medical Association,journal,Q1,768,https://www.scimagojr.com/journalsearch.php?q=85291&tip=sid&clean=0
IEEE Wireless Communications,journal,Q1,188,https://www.scimagojr.com/journalsearch.php?q=18935&tip=sid&clean=0
Progress in Retinal and Eye Research,journal,Q1,189,https://www.scimagojr.com/journalsearch.php?q=15090&tip=sid&clean=0
European Journal of Heart Failure,journal,Q1,171,https://www.scimagojr.com/journalsearch.php?q=23188&tip=sid&clean=0
Annual Review of Entomology,journal,Q1,230,https://www.scimagojr.com/journalsearch.php?q=19133&tip=sid&clean=0
Physical Review X,journal,Q1,183,https://www.scimagojr.com/journalsearch.php?q=21100201772&tip=sid&clean=0
Nature Geoscience,journal,Q1,263,https://www.scimagojr.com/journalsearch.php?q=17600155041&tip=sid&clean=0
Developmental Cell,journal,Q1,295,https://www.scimagojr.com/journalsearch.php?q=18525&tip=sid&clean=0
Annual Review of Political Science,book series,Q1,129,https://www.scimagojr.com/journalsearch.php?q=15646&tip=sid&clean=0
Entrepreneurship Theory and Practice,journal,Q1,198,https://www.scimagojr.com/journalsearch.php?q=100147318&tip=sid&clean=0
International Journal of Information Management,journal,Q1,177,https://www.scimagojr.com/journalsearch.php?q=15631&tip=sid&clean=0
Review of Educational Research,journal,Q1,186,https://www.scimagojr.com/journalsearch.php?q=16512&tip=sid&clean=0
JACC: Heart Failure,journal,Q1,106,https://www.scimagojr.com/journalsearch.php?q=21100241219&tip=sid&clean=0
Nature Aging,journal,Q1,30,https://www.scimagojr.com/journalsearch.php?q=21101083188&tip=sid&clean=0
Diabetes Care,journal,Q1,418,https://www.scimagojr.com/journalsearch.php?q=25491&tip=sid&clean=0
InfoMat,journal,Q1,69,https://www.scimagojr.com/journalsearch.php?q=21101070988&tip=sid&clean=0
Clinical Psychology Review,journal,Q1,255,https://www.scimagojr.com/journalsearch.php?q=12854&tip=sid&clean=0
Information Fusion,journal,Q1,156,https://www.scimagojr.com/journalsearch.php?q=26099&tip=sid&clean=0
Marketing Science,journal,Q1,153,https://www.scimagojr.com/journalsearch.php?q=23714&tip=sid&clean=0
IEEE Transactions on Cybernetics,journal,Q1,185,https://www.scimagojr.com/journalsearch.php?q=21100274221&tip=sid&clean=0
Organization Science,journal,Q1,281,https://www.scimagojr.com/journalsearch.php?q=22324&tip=sid&clean=0
IEEE Communications Magazine,journal,Q1,282,https://www.scimagojr.com/journalsearch.php?q=17249&tip=sid&clean=0
NCHS data brief,journal,Q1,95,https://www.scimagojr.com/journalsearch.php?q=17600155130&tip=sid&clean=0
Perspectives on Psychological Science,journal,Q1,181,https://www.scimagojr.com/journalsearch.php?q=19700182323&tip=sid&clean=0
Annual Review of Biophysics,journal,Q1,172,https://www.scimagojr.com/journalsearch.php?q=12000154482&tip=sid&clean=0
Nature Chemical Biology,journal,Q1,259,https://www.scimagojr.com/journalsearch.php?q=4000148205&tip=sid&clean=0
Nature Reviews Psychology,journal,Q1,17,https://www.scimagojr.com/journalsearch.php?q=21101159371&tip=sid&clean=0
Annual Review of Environment and Resources,book series,Q1,147,https://www.scimagojr.com/journalsearch.php?q=28800&tip=sid&clean=0
Advanced Functional Materials,journal,Q1,402,https://www.scimagojr.com/journalsearch.php?q=25143&tip=sid&clean=0
JAMA Pediatrics,journal,Q1,221,https://www.scimagojr.com/journalsearch.php?q=21100228540&tip=sid&clean=0
EMBO Journal,journal,Q1,429,https://www.scimagojr.com/journalsearch.php?q=17435&tip=sid&clean=0
Journal of the American Chemical Society,journal,Q1,703,https://www.scimagojr.com/journalsearch.php?q=22680&tip=sid&clean=0
